;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
recognize_cuba_desc;The Cubans have established themselves as a free country, and it falls on the Americans as descendants of the Sons of Liberty to officially recognize their independence and encourage their growth as American allies.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
recognize_phillipines_title;Recognize Filipino Independence;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
recognize_phillipines_desc;The Filipinos have established themselves as a free country, and it falls on the Americans as descendants of the Sons of Liberty to officially recognize their independence and encourage their growth as American allies.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
release_silesia_title;Release Silesia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
release_silesia_desc;With our holdings in Silesia cut off from the rest of Austria, it only makes sense that we give the locals more autonomy. Let the Polish raise their own armies-- so long as they do so in the service of the Austrian crown.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
release_dalmatia_title;Release Dalmatia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
release_dalmatia_desc;With our holdings in Dalmatia cut off from the rest of Austria, it only makes sense that we give the locals more autonomy. Let the Polish raise their own armies-- so long as they do so in the service of the Austrian crown.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
claim_austrian_silesia_title;Claim Silesia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_austrian_silesia_desc;The provinces of Bielsko and Tesin are rightfully Czech lands, having once belonged to Bohemia. We must reclaim them as our own.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
unite_with_croatia_title;Unite with Croatia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_with_croatia_desc;Now that Croatia has been formed, the time has come for us to join the motherland.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
invite_slovenia_to_YUG_title;Invite Slovenia Into Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_slovenia_to_YUG_desc;Our Slovenian neighbours wold surely be willing to join the Slavic union. Perhaps we should extend a hand to them?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_bosnia_to_YUG_title;Invite Bosnia Into Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_bosnia_to_YUG_desc;Our Bosnian neighbours wold surely be willing to join the Slavic union. Perhaps we should extend a hand to them?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_croatia_to_YUG_title;Invite Croatia Into Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_croatia_to_YUG_desc;Our Croatian neighbours wold surely be willing to join the Slavic union. Perhaps we should extend a hand to them?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_montenegro_to_YUG_title;Invite Montenegro Into Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_montenegro_to_YUG_desc;Our Montenegrin neighbours wold surely be willing to join the Slavic union. Perhaps we should extend a hand to them?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_serbia_to_YUG_title;Invite Serbia Into Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_serbia_to_YUG_desc;Our Serbian neighbours wold surely be willing to join the Slavic union. Perhaps we should extend a hand to them?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_bulgaria_to_YUG_title;Invite Bulgaria Into Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_bulgaria_to_YUG_desc;While the Bulgarians are noticeably reluctant to assent to any kind of greater union of the Balkans, perhaps with enough influence and good relations we can convince them to join us.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
invite_macedonia_to_YUG_title;Invite Macedonia Into Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_macedonia_to_YUG_desc;While the Macedonians are noticeably reluctant to assent to any kind of greater union of the Balkans, perhaps with enough influence and good relations we can convince them to join us.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
invite_greece_to_YUG_title;Invite Greece Into Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invite_greece_to_YUG_desc;While the Greeks are not truly considered part of the Slavic culture and are noticeably reluctant to assent to any kind of greater union of the Balkans, perhaps with enough influence and good relations we can convince them to join us.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
embrace_bosnians_YUG_title;Embrace Bosniaks;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
embrace_bosnians_YUG_desc;The Bosniaks are historically a Muslim culture, and notoriously at odds with the rest of the Slavs. With enough effort, however, it should not be impossible to integrate them more fully into the Yugoslav culture and government. Perhaps this might even mean a future of peace between our peoples.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
embrace_bulgarians_YUG_title;Embrace Bulgarians;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
embrace_bulgarians_YUG_desc;The Bulgarians often do not consider themselves true Slavs, or perhaps they simply think themselves superior? Either way relations with the Bulgarians have been difficult. With enough effort, however, it should not be impossible to integrate them more fully into the Yugoslav culture and government. Perhaps this might even mean a future of peace between our peoples.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
embrace_greeks_YUG_title;Embrace Greeks;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
embrace_greeks_YUG_desc;The Greeks are not truly a Slavic culture, and notoriously at odds with the rest of the Slavs. With enough effort, however, it should not be impossible to integrate them more fully into the Yugoslav culture and government. Perhaps this might even mean a future of peace between our peoples.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
embrace_albanians_YUG_title;Embrace Albanians;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
embrace_albanians_YUG_desc;The Albanians are not truly a Slavic culture, and notoriously at odds with the rest of the Slavs. With enough effort, however, it should not be impossible to integrate them more fully into the Yugoslav culture and government. Perhaps this might even mean a future of peace between our peoples.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_bulgaria_title;The End of Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_bulgaria_desc;The Slavic union has been sundered. It is time to bring it to an end.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_greece_title;The End of Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_greece_desc;The Slavic union has been sundered. It is time to bring it to an end.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
zanzibar_sale_title;Sell Zanzibar;;;;;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,,
zanzibar_sale_desc;The Zanzibar coast is almost worthless to us, but might be of value to the neighbouring colonial administration in Tanganyika. We should consider selling it for a tidy profit.;;;;;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,
mombasa_sale_title;Sell Mombasa;;;;;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,,
mombasa_sale_desc;The Mombasa coast is almost worthless to us, but might be of value to the neighbouring colonial administration in Kenya. We should consider selling it for a tidy profit.;;;;;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,
create_cambodian_protectorate_title;Create Cambodian Protectorate;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
create_cambodian_protectorate_desc;Fearing invasion by the Siamese, the Cambodians have requested that we allow them to join the Dai Viet in protection by our nation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
create_laos_protectorate_title;Create Laotian Protectorate;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
create_laos_protectorate_desc;The Laotians will not be able to stand against their much larger neighbours… not without our help. We should approach them and offer our protection. The civilized thing to do.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
siamese_border_treaty_title;Siamese Border Treaty;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
siamese_border_treaty_desc;Siam includes within its borders a number of conquered peoples: Laotians, Khmer and Vietnamese. A recent incident has brought to light an opportunity for us: demand that Siam release these lands, which we can then incorporate into our Indochina holdings, or face our wrath.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
unequal_treaty_DAI_title;Treaty of Hanoi;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unequal_treaty_DAI_desc;The Vietnamese are in dire straits. They cannot hold out for much longer. Perhaps we should offer them the chance to go to the negotiating table, and end this war between us… on terms very much in our own favor, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_laos_title;Organize Lan Xang;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_laos_desc;We should organize the Laotian colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
form_french_indochina_title;French Indochina;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_french_indochina_desc;With the colonial government taking form in Saigon, French administrators have advised elevating the region to a full department-- clearly with eyes on expanding French colonial rule to neighbors in Southeast Asia.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
annex_fiji_title;Annex Fiji;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
annex_fiji_desc;With Australian settlers having puchased land on the island of Fiji, they have slowly become insinuated within the court of King Cakobau. So it is that recently, when the king's lavish overspending saddled his kingdom with considerable debt, the settlers offered to negotiate terms by which the British government would pay off the debt and annex the island as a new colony.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
invest_in_irish_title;Invest in the Irish;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
invest_in_irish_desc;In order to bring the Irish up to par as an integral part of the British Empire, a great deal of investment will be needed-- to not only upgrade the decaying institutions which have been governing the island for centuries, but to also end the system of absentee landowners which so pervades the island's bureaucracy and which makes it a model of inefficiency. Only once that is done can the Irish begin to be integrated as equal subjects under British law.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
irish_integration_title;Irish Integration;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
irish_integration_desc;Now that the Irish are equal subjects under British law, steps may be taken to integrate them more fully into overall British culture.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
embrace_czech_minority_title;Embrace the Czech Minority;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
embrace_czech_minority_desc;We shall embrace our Czech citizens, and elevate them to the status shared by that of the Hungarians.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
embrace_slovene_minority_title;Embrace the Slovene Minority;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
embrace_slovene_minority_desc;We shall embrace our Slovene citizens, and elevate them to the status shared by that of the Hungarians.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
embrace_croat_minority_title;Embrace the Croat Minority;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
embrace_croat_minority_desc;We shall embrace our Croat citizens, and elevate them to the status shared by that of the Hungarians.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
embrace_polish_minority_title;Embrace the Polish Minority;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
embrace_polish_minority_desc;We shall embrace our Polish citizens, and elevate them to the status shared by that of the Hungarians.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
recognize_the_csa_title;Officially recognize the CSA;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
recognize_the_csa_desc;We will extend formal recognition of the Confederate States of America, opening an embassy in their capital and formally establishing relations. The Yankees will, of course, not approve.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
right_to_secede_title;The Right to Secede;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
right_to_secede_desc;The Civil War is over, and despite our wishes the United States stands divided. Our only option is to extend official recognition of the south's right to secede. If we cannot live under the same roof, we shall be kind neighbors, and perhaps even brothers in arms. May God help us all.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
second_declaration_of_independence_title;The Second Declaration of Independence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
second_declaration_of_independence_desc;As the founding fathers did before us, so shall we stand up for our sovereign rights and not permit the interests of the North override what the South knows to be right and proper in our eyes. We shall be free, and let no free man say otherwise.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
recognize_the_fsa_title;Officially recognize the FSA;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
recognize_the_fsa_desc;We will extend formal recognition of the Free States of America, opening an embassy in their capital and formally establishing relations. The USA will, of course, not approve.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
FSA_right_to_secede_title;The Right to Secede;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
FSA_right_to_secede_desc;The Civil War is over, and despite our wishes the United States stands divided. Our only option is to extend official recognition of the north's right to secede. If we cannot live under the same roof, we shall be kind neighbors, and perhaps even brothers in arms. May God help us all.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
FSA_second_declaration_of_independence_title;The Second Declaration of Independence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
FSA_second_declaration_of_independence_desc;As the founding fathers did before us, so shall we stand up for our sovereign rights and not permit the interests of the South override what the North knows to be right and proper in our eyes. We shall be free, and let no free man say otherwise.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
the_great_game_makran_title;The Great Game Comes to Makran;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
the_great_game_makran_desc;We must press our domination of Central Asia. This means that Makran must be subjugated as a British colony, or we risk losing it to Russian aggression in the region.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
the_great_game_panjab_title;The Great Game Comes to Panjab;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
the_great_game_panjab_desc;We must press our domination of Central Asia. This means that the Panjab must be subjugated as a British colony, or we risk losing it to Russian aggression in the region.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
the_great_game_sindh_title;The Great Game Comes to Sindh;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
the_great_game_sindh_desc;We must press our domination of Central Asia. This means that the Sindh must be subjugated as a British colony, or we risk losing it to Russian aggression in the region.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
annex_mayotte_title;Annex Mayotte;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
annex_mayotte_desc;The ruler of the small island of Maore, which French traders have dubbed 'Mayotte', is a primitive sultan who only broke away from Malagasy rule in recent years. He has petitioned the French government for status as a protectorate, clearly preferring civilized rule to those of his neighbors.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
claim_savoy_title;Claim Savoy;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_savoy_desc;While we had hoped to one day regain control over Savoy through diplomatic means, with the formation of Italy that is now impossible. We must lay claim to Savoy, and liberate the French therein through force of arms.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reclaim_poland_GER_title;Reclaim Poland;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reclaim_poland_GER_desc;Our lands in Poland were stripped from us unfairly. Now is the time to reclaim those lands in the name of Germany!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reclaim_poland_RUS_title;Reclaim Poland;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reclaim_poland_RUS_desc;Our lands in Poland were stripped from us unfairly. Now is the time to reclaim those lands in the name of Russia!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
appoint_von_bismarck_title;Appoint Otto von Bismarck;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
appoint_von_bismarck_desc;Our naton needs a great statesman as its Chancellor, and we have just the man. Otto von Bismarck is currently the country's First Minister, but appointed as the leader of our nation he could see it transformed on the world stage.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
otto_von_bismarck;Otto von Bismarck;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
