end_ottoman_domination_title;End Ottoman Domination;;;;;;;;;;;;;
EVTDESC00345;With the fall of Constantinople into Greek hands, the Turkish yoke over the whole of the Balkan world is ending. Premier amongst the new entities arising from local entities is that of Bulgaria, the traditional powerhouse of the Danube, and most likely the future rival to Byzantine expansion. The Turks across the whole of Bulgaria flee inevitable persecution, taking what they can and being led alongside what Ottoman authorities remain in a retreat to Anatolia. The loss of life in this operation is remarkably minimal, thanks to the efforts of a certain Turkish officer in the region, whom facilitated an organized evacuation campaign of the civilians, using what soldiers the Ottoman government had left.;;;;;;;;;;;;;
EVTOPTA00345;Freedom at last!;;;;;;;;;;;;;
EVTNAME00346;The Balkan Revolution;;;;;;;;;;;;;
EVTDESC00346;With the fall of Constantinople into Greek hands, the peoples of the Balkans have become free from the Turkish yoke, and one of the largest benefactors of this destruction is that of the Serbian peoples. The Serbians have always been of a rebellious stature amongst the Balkan subjects of the Ottomans, and with the loss of Turkish authority all pretenses of loyalty to the Sultan have been cast aside. In a last ditch effort, the Ottoman authorities, rallied by a remarkable model of Ottoman military command, have vacated the region, taking as many civilians with them as humanly possible, si as to spare them from the horrors that would undoubtedly await those families unlucky enough to remain.;;;;;;;;;;;;;
EVTOPTA00346;Freedom at last!;;;;;;;;;;;;;
EVTNAME00347;The Ottoman Collapse;;;;;;;;;;;;;
EVTDESC00347;The loss of Constantinople has proven devastating to the Turkish realm. Nearly all of the empire's bureaucratic resources were invested in the city and its placement as the imperial capital of the empire. The Hellene revolutionaries, upon breaching its walls, were able to systematically eradicate the capacity of the empire to govern its vast territories, causing the de facto end of the Ottoman empire as it had been built since the 1400s, and the Sultan's line went missing in this time, presumed dead. This devastating collapse was only mitigated by the consolidation of Turkish forces in the interior by a particular officer, whose efforts saved many lives in what was otherwise a horrific event in Turkish history. Now, the government must regroup and reorganize.;;;;;;;;;;;;;
EVTOPTA00347;The end is surely upon us!;;;;;;;;;;;;;
EVTNAME00348;The Janissaries Seize Control;;;;;;;;;;;;;
EVTDESC00348;The Janissary corps, a previously dissolved and disowned military organization in the Ottoman government, now remains as one of the few bodies with officials left alive and intact following the collapse of the administration. Seizing this opportunity, these disgraced remnants of the body that once caused so much harm to the administration in years past has taken control of the reins of state, forming a provisional government so as to decide the future of the realm.;;;;;;;;;;;;;
EVTOPTA00348;This can only end poorly.;;;;;;;;;;;;;
EVTNAME00349;The Coronation of a New Sultan;;;;;;;;;;;;;
EVTDESC00349;The Janissary provisional government has wasted no time in selecting a new Sultan from among its own ranks, an officer whose position had survived the purge in 1830, and whose actions in the aftermath of the collapsing Ottoman war effort saved a great deal of Turkish lives. The man in recent months became something of a folk hero, a clearly popular and obvious choice for the organization whose legitimacy rests on a knife's edge. This sultan is coronated in a swift and inglorious manner, much of the regalia of the Ottoman court resting still within the city of Constantinople, which is now almost certainly eternally lost to the Turkish people now.;;;;;;;;;;;;;;
EVTPOPTA00349;This couldn't possibly reverse our fortunes.;;;;;;;;;;;;;
EVTNAME00350;The Janissaries Reinstated;;;;;;;;;;;;;
EVTDESC00350;The Janissaries, those that placed the Sultan in power, may have expected initially that they would be awarded for their actions with prestigious positions in the new government, and a renewal of their rights and priviliges as existed before the Great Purge in the 20s. In return for their efforts, however, the Sultan instigated a series of military reforms of the empire, designed to bring it up to par with Western militaries despite its greatly reduced size. The Janissaries are indeed given positions in this military structure, but no longer as the armed combatants in separate roles they had once enjoyed. Rather, they form a new officer corps, serving to train and lead the standard armies of the empire in battle, trained in modern schools of warfare, ofen by foreign emissaries invited into the realm. As a depoliticized class, they no longer have the power to threaten the empire's integrity, but their desire for reward has been satiated.;;;;;;;;;;;;;
EVTOPTA00350;Intriguing.;;;;;;;;;;;;;
EVTNAME00351;Central Anatolian Population Boom;;;;;;;;;;;;;
EVTDESC00351;The Sultan that has come to power has followed up his successful military reforms with comprehensive reforms of the state and social structure. One major factor of his efforts has been land reform. Particularly, he has engaged in efforts to grant plots of land and housing to those refugees that have fled from the Balkan territories of the empire, and has engaged in highly pro-natalist policies in order to recover the vastly diminished popualtion of the state.;;;;;;;;;;;;;
EVTOPTA00351;The population will recover.;;;;;;;;;;;;;
EVTNAME00352;Rumi Administrative Reform;;;;;;;;;;;;;
EVTDESC00352;The Rumi Sultan has engaged in further reforms of the administration, particularly aimed at increasing the efficiency of the realms straggling bureaucratic apparatus. By enlisting the aid of foreign legal experts, and staffing the intelligentsia of the realm with those well versed in education, the bureaucracy of this period is soon proving to be the envy of the world.;;;;;;;;;;;;;
EVTOPTA00352;Efficiency, efficiency, efficiency!;;;;;;;;;;;;;
EVTNAME00353;The Ionian Islands Settlement;;;;;;;;;;;;;
EVTDESC00353;The Ionian Islands are a chain of islands off the west coast of the mainland, inhabited almost entirely by fellow Rhomaion civilians. During the Napoleonic Wars, the islands were occupied by Britain in order to secure naval bases in the Mediterranean. However, with our empire falling into their very own sphere of influence, the continued British presence is proving rather unnecessary. We should forward a request to have the islands transferred back to us as a show of good will.;;;;;;;;;;;;;
EVTOPTA00353;Send the request.;;;;;;;;;;;;;
EVTNAME00354;The Hellenes Request the Ionian Islands;;;;;;;;;;;;;
EVTDESC00354;In recent days since the self-proclaimed Rhomaion Empire fell under our protection, probing diplomatic feelers have been sent out, addressing the matter of the Ionian Islands. An island chain taken during the Napoleonic Wars, these territories posit little value to us, and releasing them into Hellene custody would be a great gesture of good will to the international community.;;;;;;;;;;;;;
EVTOPTA00354;Hand the lands back.;;;;;;;;;;;;;
EVTOPTB00354;No.;;;;;;;;;;;;;
EVTNAME00355;The Ionian Settlement;;;;;;;;;;;;;
EVTDESC00355;The British have graciously handed back the Ionian Island chain to us, after a short negotiations process. This will surely usher in an era of unprecedented cooperation between the Rhomaion people and the British crown.;;;;;;;;;;;;;
EVTOPTA00355;Huzzah!;;;;;;;;;;;;;
EVTNAME00356;The British Refuse!;;;;;;;;;;;;;
EVTDESC00356;The British have refused us our rightful possessions in the Ionian Islands. There is little we can do without risking war against the British.;;;;;;;;;;;;;
EVTOPTA00356;The Islands are lost.;;;;;;;;;;;;;
EVTNAME00357;The Ionian Islands Seized!;;;;;;;;;;;;;
EVTDESC00357;As relations between our realm and the Hellene empire have soured, increasingly fears arose that the station in the Ionian islands would be the target of hostile operations against the British Empire. However, not many expected the sheer audacity of the operation that they engaged in. Our stations in the region, ill-defended as they were, were quickly overrun by Greek forces, accompanied by sympathetic locals. While these territories are of little value to us, and recognizing this territorial change can cool relations, this will undoubtedly constitute a humiliation, even if we planned to abandon the territories anyhow.;;;;;;;;;;;;;
EVTOPTA00357;Abandon the islands.;;;;;;;;;;;;;
EVTOPTB00357;Even if we cant reclaim them, this insult cannot go unpunished.;;;;;;;;;;;;;
EVTNAME00358;The Patriarchate of Antioch;;;;;;;;;;;;;
EVTDESC00358;The Patriarchate of Antioch was long one of the main churches of the Orthodox creed, a piece of the Pentarchy that once governed all of Christianity as a united faith. The city fell to the Islamic invasions alongside the other parts of the pentarchy, but was the only city to ever be reclaimed, even if briefly, by the Rhomaion empire in years past. Now, the city passes once again into our hands, and an Orthodox patriarch now governs over the city.;;;;;;;;;;;;;
EVTOPTA00358;The city is ours!;;;;;;;;;;;;;
EVTNAME00359;The City of Jerusalem;;;;;;;;;;;;;
EVTDESC00359;The City of Jerusalem was once a proud member of the Pentarchy, the body of churches that once governed the whole of the Christian world as one. The city wherein Jesus preached and the very same wherein he was unjustly crucified, the city holds a special place in the hearts of all true Christians. Taken by the Islamic Caliphate first amongst all of the holy cities, it has seen much war and death in various struggles to claim the holy city. Now, it passes once again into Rhomaion hands, where it belongs.;;;;;;;;;;;;;
EVTOPTA00359;And may it never be lost again.;;;;;;;;;;;;;
EVTNAME00360;The City of Alexandria;;;;;;;;;;;;;
EVTDESC00360;The City of Alexandria has long held a special place in the hearts of the Rhomaion people. Built by Alexander the Great in times immemorial, the city has been a center of Greek culture dating ever since, a major center of the Christian church, and indeed the heart and soul of the Empire it resided under. The city, until the construction of Constantinople, even served as the de facto capital of the eastern empire itself, a center of trade, commerce, and the latest piece of the Pentarchy restored to prominence under Imperial control.;;;;;;;;;;;;;
EVTOPTA00360;The city of Alexander passes to us.;;;;;;;;;;;;;
EVTNAME00361;The City of Rome;;;;;;;;;;;;;
EVTDESC00361;A dream that was once deemed impossible has come to fruition, in a manner none could have ever predicted to become reality. The city of Rome itself, long the capital of the Roman Empire that we have restored, and replaced by the city of Constantinople, the city was lost to us before even the Levant, but not to the Islamic Caliphate. The city and seat of the Papacy, the city of Rome yet still remains the seat of one of the Pentarchs, no matter how wayward its leadership was in past centuries.;;;;;;;;;;;;;
